##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	SRR077485_1.filt.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	22311940
Sequences flagged as poor quality	0
Sequence length	100
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
4	66-67	0.3786219765322514
4	68-69	0.13774064934752062
4	70-71	0.09184641081089495
4	72-73	0.0729583511450258
4	74-75	0.0955981993715298
4	76-77	0.05454979604375154
4	78-79	0.09166054248045441
4	80-81	0.0937769715068697
4	82-83	0.06423154091095284
4	84-85	0.12202111894936962
4	86-87	0.12171802660360242
4	88-89	0.09516718109198763
4	90-91	0.08012161303766874
4	92-93	0.12540674958368925
4	94-95	0.11708901987499587
4	96-97	0.2445943435647706
4	98-99	0.2506190708999938
4	100	0.26065743500135596
5	1	-0.06505108846454277
5	2	0.0879685345414174
5	3	-0.0657013084282454
5	4	-0.06297912939113104
5	5	-0.05416021556495565
5	6	-0.07683509868456184
5	7	-0.09439827799004519
5	8	-0.12435866271531637
5	9	-0.10220320131298166
5	10-11	-0.07705306570711912
5	12-13	-0.0973780631210488
5	14-15	-0.09782661835183148
5	16-17	-0.0806205820838386
5	18-19	-0.07717078902925323
5	20-21	-0.09411093381896762
5	22-23	-0.10023531348265635
5	24-25	-0.0787387507659787
5	26-27	-0.06168169444488569
5	28-29	-0.060616177782989666
5	30-31	0.06448037457740696
5	32-33	-0.011378319109390134
5	34-35	-0.024833975924160256
5	36-37	0.21475693243741745
5	38-39	0.0017758552533990724
5	40-41	-0.013541573339921342
5	42-43	-0.036192626820898965
5	44-45	-0.03560874552862714
5	46-47	-0.009868314714147175
5	48-49	-0.03119465818642908
5	50-51	0.011317759580890652
5	52-53	-0.0035979815723194974
5	54-55	-0.005581965370879516
5	56-57	0.03377100343455197
5	58-59	0.018791678523449207
5	60-61	0.08613098535504804
5	62-63	0.11606878114339736
5	64-65	0.11478494599703737
5	66-67	0.48039211246246083
5	68-69	0.20385446553741815
5	70-71	0.19772488514645659
5	72-73	0.22600663680134403
5	74-75	0.17981913668133842
5	76-77	0.14797645459517383
5	78-79	0.09457695554598189
5	80-81	0.15847062133441625
5	82-83	0.17201202376751468
5	84-85	0.10538488441903127
5	86-87	0.19835628994302112
5	88-89	0.15357152274344088
5	90-91	0.27075358706890995
5	92-93	0.2904250088654905
5	94-95	0.30696019049783274
5	96-97	0.42609667669522366
5	98-99	0.41401428291055
5	100	0.39466027533407555
6	1	-0.049426811689471606
6	2	0.06780476236411914
6	3	-0.033953383889965494
6	4	-0.055648611081061006
6	5	-0.03346700182694207
6	6	-0.06621601767430008
6	7	-0.06137658924476597
6	8	-0.08942701338391856
6	9	-0.0674983085666625
6	10-11	-0.07930024684223724
6	12-13	-0.08893771548496687
6	14-15	-0.0972197366900005
6	16-17	-0.10188969520938684
6	18-19	-0.09233708763335358
6	20-21	-0.08752958108362208
6	22-23	-0.0803082292054853
6	24-25	-0.093801275115041
6	26-27	-0.06965029877228801
6	28-29	-0.052876254744326445
6	30-31	0.05236291176759522
6	32-33	-0.02867650364473917
6	34-35	-0.03829867674993892
6	36-37	0.17208623280748014
6	38-39	0.002344994801148914
6	40-41	-0.023467741551669974
6	42-43	-0.021688730176521176
6	44-45	-0.052866819083853045
6	46-47	-0.03368720823489468
6	48-49	-0.016163256373474155
6	50-51	-0.020710209339959817
6	52-53	-0.043439873322554945
6	54-55	-0.030433345520549437
6	56-57	-0.009395926877559191
6	58-59	-0.015778894063579685
6	60-61	0.020742123993834127
6	62-63	0.08520579560728692
6	64-65	0.08270483475010337
6	66-67	0.4363231000386705
6	68-69	0.1474162242596222
6	70-71	0.16392748627981746
6	72-73	0.1510079131837685
6	74-75	0.14465473846883725
6	76-77	0.07906164132462834
6	78-79	0.06431748149222472
6	80-81	0.10478790114309788
6	82-83	-0.0023185401432286312
6	84-85	0.08557712397647066
6	86-87	0.043945933584844
6	88-89	0.024608366994954167
